               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027919,            0.022853,           0.0034074,             0.69593,             0.58159,             0.61011,             0.42179,             0.04311,            0.030008,            0.012251,             0.07006,           0.0033267,           0.0033267
                   1,            0.030569,            0.023879,           0.0038957,             0.64553,             0.56497,             0.57812,             0.38428,            0.044963,            0.029968,            0.014227,             0.03984,           0.0064402,           0.0064402
                   2,            0.034008,            0.026172,             0.00544,             0.65771,             0.54428,             0.56986,             0.36501,            0.045695,            0.027949,            0.014803,           0.0094004,           0.0093338,           0.0093338
                   3,             0.03649,            0.029831,           0.0073666,             0.61637,             0.52933,             0.53763,             0.34017,            0.045274,            0.028219,            0.015329,             0.00901,             0.00901,             0.00901
                   4,            0.037343,            0.030767,           0.0079715,             0.57419,             0.52459,             0.51775,             0.33145,            0.044983,            0.027515,            0.015663,             0.00901,             0.00901,             0.00901
                   5,            0.037018,            0.030906,           0.0078546,             0.61694,             0.52039,              0.5416,             0.35153,            0.044766,            0.026872,            0.014908,             0.00868,             0.00868,             0.00868
                   6,            0.036756,            0.030914,           0.0078118,             0.62599,             0.55646,              0.5628,             0.36307,            0.044681,            0.027213,            0.015064,             0.00835,             0.00835,             0.00835
                   7,            0.036372,            0.030462,           0.0074483,             0.64006,             0.55063,              0.5699,             0.36901,              0.0436,            0.026541,            0.011963,             0.00802,             0.00802,             0.00802
                   8,            0.035532,            0.029534,           0.0068226,             0.62774,             0.55593,             0.57737,             0.38037,             0.04414,            0.027093,            0.014546,             0.00769,             0.00769,             0.00769
                   9,            0.035339,            0.029273,           0.0066164,             0.62883,             0.53072,             0.56383,             0.36936,            0.044395,            0.028777,            0.014517,             0.00736,             0.00736,             0.00736
                  10,            0.034807,            0.028861,           0.0061073,             0.65125,             0.56104,             0.57673,             0.38262,            0.043886,            0.028107,            0.013612,             0.00703,             0.00703,             0.00703
                  11,            0.034098,            0.028295,            0.005887,             0.66814,             0.54308,             0.58142,             0.38892,            0.043057,            0.027001,            0.013598,              0.0067,              0.0067,              0.0067
                  12,             0.03344,            0.027764,           0.0055224,             0.68379,             0.56607,             0.58535,              0.3874,            0.043157,            0.028333,            0.013656,             0.00637,             0.00637,             0.00637
                  13,             0.03313,            0.027865,           0.0054778,             0.68598,             0.55345,             0.58509,             0.39019,            0.042852,            0.027576,            0.012787,             0.00604,             0.00604,             0.00604
                  14,             0.03237,            0.026711,           0.0051281,             0.63944,              0.5701,             0.57533,             0.39064,             0.04293,            0.027908,            0.013848,             0.00571,             0.00571,             0.00571
                  15,            0.032109,            0.026434,           0.0049617,             0.65997,             0.55885,              0.5906,              0.3954,            0.042829,            0.027079,             0.01283,             0.00538,             0.00538,             0.00538
                  16,            0.031573,            0.025847,           0.0048122,             0.66758,             0.58596,              0.6051,             0.41439,            0.042144,            0.027667,            0.012829,             0.00505,             0.00505,             0.00505
                  17,            0.030928,            0.025393,           0.0046141,             0.67215,              0.5882,             0.60603,             0.41152,            0.042672,             0.02833,            0.012891,             0.00472,             0.00472,             0.00472
                  18,            0.030461,            0.025084,           0.0042882,             0.73085,              0.5532,             0.60034,             0.40919,            0.043076,            0.029147,            0.013525,             0.00439,             0.00439,             0.00439
                  19,            0.030037,             0.02482,            0.004191,             0.66738,               0.587,             0.60013,             0.41429,            0.042684,            0.028661,            0.013144,             0.00406,             0.00406,             0.00406
                  20,            0.029434,             0.02393,           0.0039528,             0.69741,             0.57255,             0.60512,             0.41612,            0.042535,            0.028737,            0.012976,             0.00373,             0.00373,             0.00373
                  21,            0.028917,            0.023752,           0.0038594,             0.70187,             0.56705,             0.61205,             0.41876,            0.042819,             0.02916,            0.012812,              0.0034,              0.0034,              0.0034
                  22,             0.02828,            0.023201,           0.0036969,             0.72789,             0.56869,             0.60953,             0.42166,            0.042498,            0.029425,            0.012487,             0.00307,             0.00307,             0.00307
                  23,            0.028017,            0.022998,           0.0035439,             0.72099,             0.56655,             0.61529,             0.42473,            0.042642,            0.029673,            0.012796,             0.00274,             0.00274,             0.00274
                  24,            0.027669,            0.022569,           0.0033583,             0.68668,             0.58983,             0.61481,             0.42218,            0.042883,            0.029911,            0.011883,             0.00241,             0.00241,             0.00241
                  25,            0.027176,             0.02209,           0.0032337,             0.69189,             0.57812,             0.60528,             0.42286,            0.042724,            0.030452,            0.012346,             0.00208,             0.00208,             0.00208
                  26,            0.026622,            0.022103,            0.003069,             0.67177,             0.58837,             0.60557,             0.42554,            0.042539,             0.03048,            0.012615,             0.00175,             0.00175,             0.00175
                  27,            0.026326,            0.021466,           0.0030166,             0.70658,             0.57265,             0.60928,             0.42885,            0.043332,            0.031199,            0.012824,             0.00142,             0.00142,             0.00142
                  28,            0.025757,            0.021214,           0.0030344,             0.70395,             0.57316,             0.61436,              0.4344,            0.043093,            0.031094,            0.012443,             0.00109,             0.00109,             0.00109
                  29,            0.025589,             0.02094,           0.0029075,             0.71536,             0.56776,             0.61528,             0.43363,            0.042892,            0.031414,            0.012177,             0.00076,             0.00076,             0.00076
